direction,seed,split_seed,shot_k,alpha,distance,file_acc,macro_f1
rx1_to_rx2,0,1,10,0.0,cosine,0.625,0.5416666666666666
rx1_to_rx2,0,1,10,0.25,cosine,0.5416666666666666,0.44722222222222224
rx1_to_rx2,0,1,10,0.5,cosine,0.375,0.30833333333333335
rx1_to_rx2,0,1,10,0.75,cosine,0.16666666666666666,0.11805555555555554
rx1_to_rx2,0,1,10,1.0,cosine,0.041666666666666664,0.027777777777777776
rx1_to_rx2,0,1,20,0.0,cosine,0.75,0.6972222222222223
rx1_to_rx2,0,1,20,0.25,cosine,0.5416666666666666,0.47222222222222215
rx1_to_rx2,0,1,20,0.5,cosine,0.3333333333333333,0.25277777777777777
rx1_to_rx2,0,1,20,0.75,cosine,0.16666666666666666,0.11805555555555554
rx1_to_rx2,0,1,20,1.0,cosine,0.041666666666666664,0.027777777777777776
rx1_to_rx2,0,2,1,0.0,cosine,0.20833333333333334,0.1597222222222222
rx1_to_rx2,0,2,1,0.25,cosine,0.25,0.19027777777777777
rx1_to_rx2,0,2,1,0.5,cosine,0.25,0.20833333333333334
rx1_to_rx2,0,2,1,0.75,cosine,0.3333333333333333,0.2916666666666667
rx1_to_rx2,0,2,1,1.0,cosine,0.041666666666666664,0.027777777777777776
rx1_to_rx2,0,2,3,0.0,cosine,0.3333333333333333,0.2916666666666667
rx1_to_rx2,0,2,3,0.25,cosine,0.4166666666666667,0.3611111111111111
rx1_to_rx2,0,2,3,0.5,cosine,0.20833333333333334,0.14583333333333334
rx1_to_rx2,0,2,3,0.75,cosine,0.20833333333333334,0.17361111111111108
rx1_to_rx2,0,2,3,1.0,cosine,0.041666666666666664,0.027777777777777776
rx1_to_rx2,0,2,5,0.0,cosine,0.4166666666666667,0.32222222222222224
rx1_to_rx2,0,2,5,0.25,cosine,0.375,0.3055555555555555
rx1_to_rx2,0,2,5,0.5,cosine,0.375,0.3263888888888889
rx1_to_rx2,0,2,5,0.75,cosine,0.125,0.1111111111111111
rx1_to_rx2,0,2,5,1.0,cosine,0.041666666666666664,0.027777777777777776
rx1_to_rx2,0,2,10,0.0,cosine,0.5416666666666666,0.46527777777777773
rx1_to_rx2,0,2,10,0.25,cosine,0.4583333333333333,0.3819444444444444
rx1_to_rx2,0,2,10,0.5,cosine,0.2916666666666667,0.21527777777777776
rx1_to_rx2,0,2,10,0.75,cosine,0.08333333333333333,0.06944444444444443
rx1_to_rx2,0,2,10,1.0,cosine,0.041666666666666664,0.027777777777777776
rx1_to_rx2,0,2,20,0.0,cosine,0.7083333333333334,0.6319444444444443
rx1_to_rx2,0,2,20,0.25,cosine,0.5833333333333334,0.548611111111111
rx1_to_rx2,0,2,20,0.5,cosine,0.4166666666666667,0.3680555555555555
rx1_to_rx2,0,2,20,0.75,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,0,2,20,1.0,cosine,0.041666666666666664,0.027777777777777776
rx1_to_rx2,1,0,1,0.0,cosine,0.4583333333333333,0.3819444444444444
rx1_to_rx2,1,0,1,0.25,cosine,0.4166666666666667,0.2924603174603175
rx1_to_rx2,1,0,1,0.5,cosine,0.3333333333333333,0.24801587301587302
rx1_to_rx2,1,0,1,0.75,cosine,0.3333333333333333,0.23194444444444443
rx1_to_rx2,1,0,1,1.0,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,1,0,3,0.0,cosine,0.4166666666666667,0.3013888888888889
rx1_to_rx2,1,0,3,0.25,cosine,0.5,0.3847222222222222
rx1_to_rx2,1,0,3,0.5,cosine,0.3333333333333333,0.25277777777777777
rx1_to_rx2,1,0,3,0.75,cosine,0.20833333333333334,0.18055555555555555
rx1_to_rx2,1,0,3,1.0,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,1,0,5,0.0,cosine,0.5833333333333334,0.4930555555555555
rx1_to_rx2,1,0,5,0.25,cosine,0.5416666666666666,0.4583333333333333
rx1_to_rx2,1,0,5,0.5,cosine,0.4166666666666667,0.36388888888888893
rx1_to_rx2,1,0,5,0.75,cosine,0.20833333333333334,0.16666666666666666
rx1_to_rx2,1,0,5,1.0,cosine,0.16666666666666666,0.13888888888888887
