receiver,model,seed,condition,accuracy,macro_f1,n_eval
n210_2,B1-OOB,2,right_scale_0.5,0.516,0.4976894375342436,2000
n210_2,B1-OOB,3,clean,0.6345,0.6134823092829589,2000
n210_2,B1-OOB,3,scale_0.5,0.1005,0.019188461157175915,2000
n210_2,B1-OOB,3,scale_0.70710678,0.1005,0.019224931875281556,2000
n210_2,B1-OOB,3,scale_1.41421356,0.095,0.05340933626904994,2000
n210_2,B1-OOB,3,scale_2.0,0.1,0.018214936247640187,2000
n210_2,B1-OOB,3,shuffle,0.13,0.12123782001333713,2000
n210_2,B1-OOB,3,neutral,0.1275,0.05766476614119912,2000
n210_2,B1-OOB,3,left_scale_0.5,0.1005,0.019188461157175915,2000
n210_2,B1-OOB,3,right_scale_0.5,0.485,0.4295761758609661,2000
n210_2,B1-OOB,4,clean,0.7925,0.7608394836965763,2000
n210_2,B1-OOB,4,scale_0.5,0.1,0.01818181818173554,2000
n210_2,B1-OOB,4,scale_0.70710678,0.1,0.018190086402827696,2000
n210_2,B1-OOB,4,scale_1.41421356,0.1705,0.09653396871431116,2000
n210_2,B1-OOB,4,scale_2.0,0.1,0.01819836214732394,2000
